,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
144,4,經濟與國際脈動,7406032,1,財務管理概論Introduction to Financial management,沈伯凡,2  2/0/0,2,通識,"五10,11",管理學院101,60
145,4,經濟與國際脈動,7406035,1,國際人力資源管理International Human Resource Management,王秋玲,2  2/0/0,2,通識,"二4,5",共同教室大樓321,62
146,4,經濟與國際脈動,7406036,1,投資規劃與生活Investment Planning and Life,莊益源,2  2/0/0,2,通識,"五4,5",管理學院006,80
147,4,經濟與國際脈動,7406036,2,投資規劃與生活Investment Planning and Life,楊鴻煒,2  2/0/0,2,通識,"五4,5",共同教室大樓420,62
148,4,人文思維與生命探索,7407012,1,生命教育Life Education,張菀珍,2  2/0/0,2,通識,"二10,11",教育二館135,85
149,4,人文思維與生命探索,7407013,1,職涯規劃Career Plan,王秋玲,2  2/0/0,2,通識,"三4,5",共同教室大樓322,62
150,4,人文思維與生命探索,7407014,1,人際關係與人際溝通Human Relations & Interpersonal Communication,王秋玲,2  2/0/0,2,通識,"三10,11",共同教室大樓322,62
151,4,公民與社會參與,7407016,1,生涯知能Career Knowledge,王秋玲 黃承德 陸維元 楊志和,2  2/0/0,2,通識,"一10,11",共同教室大樓325,1
152,4,公民與社會參與,7407026,1,服務學習：高齡健康促進Service Leaning: Health Promotion for the Elderly,王怡分,2  2/0/0,2,通識,"二2,3",共同教室大樓207,50
153,4,公民與社會參與,7407027,1,服務學習：課輔知能在補救教學的應用Service Learning: The Application of Knowledge and Skills in Remedial Teaching,林妙香,2  2/0/0,2,通識,"五2,3",共同教室大樓321,50
154,4,公民與社會參與,7407027,2,服務學習：課輔知能在補救教學的應用Service Learning: The Application of Knowledge and Skills in Remedial Teaching,林妙香,2  2/0/0,2,通識,"五4,5",共同教室大樓321,50
155,4,公民與社會參與,7407028,1,服務學習：友善校園宣導計畫Service Learning: The Propaganda of Friendly Campus,林妙香,2  2/0/0,2,通識,"五7,8",共同教室大樓321,50
156,2,自然科學與技術,7500004,1,電影中的科學Science in films,黃俊儒,2  2/0/0,2,通識,"四4,5",共同教室大樓214,62
157,2,能源、環境與生態,7500010,1,永續綠生活Sustainable Green Life,黃佳盛,2  2/0/0,2,通識,"一10,11",共同教室大樓208,60
158,2,能源、環境與生態,7500014,1,永續都市規劃概論Introducation to Sustainable Urban Planning,蔡中暉,2  2/0/0,2,通識,"二9,10",共同教室大樓201,60
159,2,能源、環境與生態,7500015,1,環境倫理－從綠色產業談起Environmental Ethics from the Viewpoint of Green Industry,李振卿,2  2/0/0,2,通識,"三4,5",共同教室大樓216,70
160,2,能源、環境與生態,7500016,1,永續發展Sustainable Development,李振卿,2  2/0/0,2,通識,"三10,11",共同教室大樓216,70
161,2,能源、環境與生態,7500017,1,氣候變遷調適與防災Climate Change Adaptation and Disasters Protection,李振卿,2  2/0/0,2,通識,"四7,8",共同教室大樓325,70
162,2,能源、環境與生態,7500019,1,地球演化與資源Geoevolution and Natural Resources,鍾令和,2  2/0/0,2,通識,"五8,9",共同教室大樓215,90
163,2,自然科學與技術,7500021,1,科學飲茶實務Practice on scientific tea drinking,許偉庭,2  2/0/0,2,通識,"二8,9",共同教室大樓323,40
164,2,自然科學與技術,7500021,2,科學飲茶實務Practice on scientific tea drinking,許偉庭,2  2/0/0,2,通識,"二10,11",共同教室大樓323,40
165,2,能源、環境與生態,7500022,1,地景欣賞與保育Landscape perception and conservation,黃文樹,2  2/0/0,2,通識,"四11,12",共同教室大樓207,60
166,2,能源、環境與生態,7500023,1,氣候變遷下維生基礎調適The Adaptation of Subsistence for Climate Change,李振卿,2  2/0/0,2,通識,"四4,5",共同教室大樓325,70
167,2,能源、環境與生態,7500024,1,綠能科技的開發與展望Green Energy and Green Technology,吳榮宗,2  2/0/0,2,通識,"二10,11",共同教室大樓208,60
168,2,能源、環境與生態,7500028,1,永續綠能新契機Hope for Sustainable Green Energy,李振卿,2  2/0/0,2,通識,"三7,8",共同教室大樓216,70
169,2,自然科學與技術,7500030,1,科技與社會Technology and Society,潘賽智,2  2/0/0,2,通識,"一7,8",共同教室大樓206,60
170,2,自然科學與技術,7502001,1,生活化學Living Chemistry,吉凱明,2  2/0/0,2,通識,"四10,11",共同教室大樓422,90
171,2,自然科學與技術,7502002,1,今日化工Today Chemical enginnering,陳靜誼,2  2/0/0,2,通識,"一8,9",共同教室大樓422,90
172,2,自然科學與技術,7503012,1,急救醫學Emergency Medicine,楊仁宗,2  2/0/0,2,通識,"一10,11",共同教室大樓401,70
173,2,資訊能力課程,7504019,1,電腦遊戲設計導論Introduction to Computer Game Programming (程式設計相關/Programming related),張漢呈,2  2/0/0,2,通識,"四9,10",電算中心215教室,60
174,2,能源、環境與生態,7505009,1,臺灣的植物Plants in Taiwan,黃佳盛,2  2/0/0,2,通識,"一8,9",共同教室大樓208,60
175,2,基礎概論課程,7506001,1,地球科學The Earth,王維豪,2  2/0/0,2,通識,"二10,11",地震館302,85
176,2,能源、環境與生態,7506003,1,認識海洋The Knowledge of The Oceans,趙鴻椿,2  2/0/0,2,通識,"四10,11",地震館107,60
177,2,能源、環境與生態,7506007,1,地球與環境科學Earth and Environmental Sciences,張永孚,2  2/0/0,2,通識,"五2,3",地震館302,85
178,2,自然科學與技術,7506011,1,漫遊宇宙101個天體Introduction to 101 Astronomical Objects,李昫岱,2  2/0/0,2,通識,"五8,9",共同教室大樓322,62
179,2,自然科學與技術,7506012,1,星空探索Exploring the Sky,李昫岱,2  2/0/0,2,通識,"五4,5",共同教室大樓322,62
180,2,自然科學與技術,7506012,2,星空探索Exploring the Sky,李昫岱,2  2/0/0,2,通識,"五10,11",共同教室大樓322,62
